sw_longitude,sw_latitude,ne_longitude,ne_latitude,box_rating
-122.508941,37.72414,-122.50294099999999,37.728139999999996,0.0
-122.50294099999999,37.72414,-122.49694099999999,37.728139999999996,0.0
-122.49694099999999,37.72414,-122.49094099999999,37.728139999999996,0.0
-122.49094099999999,37.72414,-122.48494099999999,37.728139999999996,0.0
-122.48494099999999,37.72414,-122.47894099999999,37.728139999999996,0.0
-122.47894099999999,37.72414,-122.47294099999999,37.728139999999996,3.45
-122.47294099999999,37.72414,-122.46694099999999,37.728139999999996,0.0
-122.46694099999999,37.72414,-122.46094099999999,37.728139999999996,3.19
-122.46094099999999,37.72414,-122.45494099999999,37.728139999999996,3.65
-122.45494099999999,37.72414,-122.44894099999999,37.728139999999996,4.0
-122.44894099999999,37.72414,-122.44294099999999,37.728139999999996,0.0
-122.44294099999999,37.72414,-122.43694099999999,37.728139999999996,0.0
-122.43694099999999,37.72414,-122.43094099999999,37.728139999999996,4.05
-122.43094099999999,37.72414,-122.42494099999999,37.728139999999996,0.0
-122.42494099999999,37.72414,-122.41894099999999,37.728139999999996,0.0
-122.41894099999999,37.72414,-122.41294099999999,37.728139999999996,0.0
-122.41294099999999,37.72414,-122.40694099999999,37.728139999999996,0.0
-122.40694099999999,37.72414,-122.40094099999999,37.728139999999996,3.67
-122.40094099999999,37.72414,-122.39494099999999,37.728139999999996,4.25
-122.39494099999999,37.72414,-122.38894099999999,37.728139999999996,4.13
-122.38894099999999,37.72414,-122.38294099999999,37.728139999999996,0.0
-122.38294099999999,37.72414,-122.37694099999999,37.728139999999996,0.0
-122.37694099999999,37.72414,-122.37094099999999,37.728139999999996,0.0
-122.37094099999999,37.72414,-122.36494099999999,37.728139999999996,0.0
-122.36494099999999,37.72414,-122.35894099999999,37.728139999999996,0.0
-122.35894099999999,37.72414,-122.35294099999999,37.728139999999996,0.0
-122.514941,37.72814,-122.508941,37.73214,0.0
-122.508941,37.72814,-122.50294099999999,37.73214,0.0
-122.50294099999999,37.72814,-122.49694099999999,37.73214,0.0
-122.49694099999999,37.72814,-122.49094099999999,37.73214,0.0
-122.49094099999999,37.72814,-122.48494099999999,37.73214,0.0
-122.48494099999999,37.72814,-122.47894099999999,37.73214,0.0
-122.47894099999999,37.72814,-122.47294099999999,37.73214,3.55
-122.47294099999999,37.72814,-122.46694099999999,37.73214,0.0
-122.46694099999999,37.72814,-122.46094099999999,37.73214,0.0
-122.46094099999999,37.72814,-122.45494099999999,37.73214,0.0
-122.45494099999999,37.72814,-122.44894099999999,37.73214,3.58
-122.44894099999999,37.72814,-122.44294099999999,37.73214,3.75
-122.44294099999999,37.72814,-122.43694099999999,37.73214,4.0
-122.43694099999999,37.72814,-122.43094099999999,37.73214,3.17
-122.43094099999999,37.72814,-122.42494099999999,37.73214,0.0
-122.42494099999999,37.72814,-122.41894099999999,37.73214,0.0
-122.41894099999999,37.72814,-122.41294099999999,37.73214,0.0
-122.41294099999999,37.72814,-122.40694099999999,37.73214,0.0
-122.40694099999999,37.72814,-122.40094099999999,37.73214,3.75
-122.40094099999999,37.72814,-122.39494099999999,37.73214,0.0
-122.39494099999999,37.72814,-122.38894099999999,37.73214,3.67
-122.38894099999999,37.72814,-122.38294099999999,37.73214,0.0
-122.38294099999999,37.72814,-122.37694099999999,37.73214,0.0
-122.37694099999999,37.72814,-122.37094099999999,37.73214,0.0
-122.37094099999999,37.72814,-122.36494099999999,37.73214,0.0
-122.36494099999999,37.72814,-122.35894099999999,37.73214,0.0
-122.35894099999999,37.72814,-122.35294099999999,37.73214,0.0
-122.514941,37.73214,-122.508941,37.73614,0.0
-122.508941,37.73214,-122.50294099999999,37.73614,3.17
-122.50294099999999,37.73214,-122.49694099999999,37.73614,3.5
-122.49694099999999,37.73214,-122.49094099999999,37.73614,0.0
-122.49094099999999,37.73214,-122.48494099999999,37.73614,3.14
-122.48494099999999,37.73214,-122.47894099999999,37.73614,0.0
-122.47894099999999,37.73214,-122.47294099999999,37.73614,3.5
-122.47294099999999,37.73214,-122.46694099999999,37.73614,0.0
-122.46694099999999,37.73214,-122.46094099999999,37.73614,0.0
-122.46094099999999,37.73214,-122.45494099999999,37.73614,0.0
-122.45494099999999,37.73214,-122.44894099999999,37.73614,0.0
-122.44894099999999,37.73214,-122.44294099999999,37.73614,0.0
-122.44294099999999,37.73214,-122.43694099999999,37.73614,0.0
-122.43694099999999,37.73214,-122.43094099999999,37.73614,4.1
-122.43094099999999,37.73214,-122.42494099999999,37.73614,0.0
-122.42494099999999,37.73214,-122.41894099999999,37.73614,3.88
-122.41894099999999,37.73214,-122.41294099999999,37.73614,0.0
-122.41294099999999,37.73214,-122.40694099999999,37.73614,4.17
-122.40694099999999,37.73214,-122.40094099999999,37.73614,0.0
-122.40094099999999,37.73214,-122.39494099999999,37.73614,0.0
-122.39494099999999,37.73214,-122.38894099999999,37.73614,3.75
